longitude,latitude,year,tp
21.0,60.0,2016,
21.0,60.0,2017,
21.0,60.0,2018,
21.0,60.0,2019,
21.0,60.0,2020,
21.0,59.900001525878906,2016,
21.0,59.900001525878906,2017,
21.0,59.900001525878906,2018,
21.0,59.900001525878906,2019,
21.0,59.900001525878906,2020,
21.0,59.79999923706055,2016,
21.0,59.79999923706055,2017,
21.0,59.79999923706055,2018,
21.0,59.79999923706055,2019,
21.0,59.79999923706055,2020,
21.0,59.70000076293945,2016,
21.0,59.70000076293945,2017,
21.0,59.70000076293945,2018,
21.0,59.70000076293945,2019,
21.0,59.70000076293945,2020,
21.0,59.599998474121094,2016,
21.0,59.599998474121094,2017,
21.0,59.599998474121094,2018,
21.0,59.599998474121094,2019,
21.0,59.599998474121094,2020,
21.0,59.5,2016,
21.0,59.5,2017,
21.0,59.5,2018,
21.0,59.5,2019,
21.0,59.5,2020,
21.0,59.400001525878906,2016,
21.0,59.400001525878906,2017,
21.0,59.400001525878906,2018,
21.0,59.400001525878906,2019,
21.0,59.400001525878906,2020,
21.0,59.29999923706055,2016,
21.0,59.29999923706055,2017,
21.0,59.29999923706055,2018,
21.0,59.29999923706055,2019,
21.0,59.29999923706055,2020,
21.0,59.20000076293945,2016,
21.0,59.20000076293945,2017,
21.0,59.20000076293945,2018,
21.0,59.20000076293945,2019,
21.0,59.20000076293945,2020,
21.0,59.099998474121094,2016,
21.0,59.099998474121094,2017,
21.0,59.099998474121094,2018,
21.0,59.099998474121094,2019,
21.0,59.099998474121094,2020,
21.0,59.0,2016,
21.0,59.0,2017,
21.0,59.0,2018,
21.0,59.0,2019,
21.0,59.0,2020,
21.0,58.900001525878906,2016,
21.0,58.900001525878906,2017,
21.0,58.900001525878906,2018,
21.0,58.900001525878906,2019,
21.0,58.900001525878906,2020,
21.0,58.79999923706055,2016,
21.0,58.79999923706055,2017,
21.0,58.79999923706055,2018,
21.0,58.79999923706055,2019,
21.0,58.79999923706055,2020,
21.0,58.70000076293945,2016,
21.0,58.70000076293945,2017,
21.0,58.70000076293945,2018,
21.0,58.70000076293945,2019,
21.0,58.70000076293945,2020,
21.0,58.599998474121094,2016,
21.0,58.599998474121094,2017,
21.0,58.599998474121094,2018,
21.0,58.599998474121094,2019,
21.0,58.599998474121094,2020,
21.0,58.5,2016,
21.0,58.5,2017,
21.0,58.5,2018,
21.0,58.5,2019,
21.0,58.5,2020,
21.0,58.400001525878906,2016,
21.0,58.400001525878906,2017,
21.0,58.400001525878906,2018,
21.0,58.400001525878906,2019,
21.0,58.400001525878906,2020,
21.0,58.29999923706055,2016,
21.0,58.29999923706055,2017,
21.0,58.29999923706055,2018,
21.0,58.29999923706055,2019,
21.0,58.29999923706055,2020,
21.0,58.20000076293945,2016,
21.0,58.20000076293945,2017,
21.0,58.20000076293945,2018,
21.0,58.20000076293945,2019,
21.0,58.20000076293945,2020,
21.0,58.099998474121094,2016,
21.0,58.099998474121094,2017,
21.0,58.099998474121094,2018,
21.0,58.099998474121094,2019,
21.0,58.099998474121094,2020,
21.0,58.0,2016,
21.0,58.0,2017,
21.0,58.0,2018,
21.0,58.0,2019,
21.0,58.0,2020,
21.0,57.900001525878906,2016,
21.0,57.900001525878906,2017,
21.0,57.900001525878906,2018,
21.0,57.900001525878906,2019,
21.0,57.900001525878906,2020,
21.0,57.79999923706055,2016,
21.0,57.79999923706055,2017,
21.0,57.79999923706055,2018,
21.0,57.79999923706055,2019,
21.0,57.79999923706055,2020,
21.0,57.70000076293945,2016,
21.0,57.70000076293945,2017,
21.0,57.70000076293945,2018,
21.0,57.70000076293945,2019,
21.0,57.70000076293945,2020,
21.0,57.599998474121094,2016,
21.0,57.599998474121094,2017,
